ID	Value
htd24001	Nandakot\JJ peak\NN is\VBZ situated\VBN in\IN the\DT Pitthaurgadh\NNP district\NN of\IN Uttrakhand\NNP .\.
htd24002	This\DT peak\NN is\VBZ at\IN a\DT distance\NN of\IN around\IN 15\CD kilometre\NN from\IN Nanda\NNP Devi\NNP in\IN south\NN -\: east\JJ direction\NN .\.
htd24003	It\PRP height\NN from\IN sea\NN level\NN is\VBZ 6861\CD meter\NN which\WDT means\VBZ 22510\CD foot\NN .\.
htd24004	People\NNS who\WP are\VBP lovers\NNS of\IN trekking\VBG get\VB attracted\VBN towards\IN it\PRP .\.
htd24005	Do\VBP you\PRP remember\VB ,\, we\PRP had\VBD told\VBN you\PRP about\IN Nanda\NNP Devi\NNP mountain\NN .\.
htd24006	Residents\NNS of\IN Kumaun\NNP area\NN of\IN Uttrakhand\NNP regard\NN Nanda\NNP Devi\NNP in\IN the\DT form\NN of\IN Goddess\NNP Parvati\NNP .\.
htd24007	In\IN Kumaun\NNP only\RB there\EX is\VBZ another\DT mountain\NN Nandakot\NNP .\.
htd24008	Regard\RB this\DT snow\NN covered\VBD peak\NN there\RB to\TO be\VB a\DT pure\JJ peak\NN as\RB well\RB .\.
htd24009	Do\VBP you\PRP know\VBP ,\, the\DT meaning\NN of\IN Kot\NNP is\VBZ Fort\NNP and\CC according\VBG to\TO mythic\JJ sagas\NNS this\DT mountain\NN has\VBZ been\VBN considered\VBN as\IN Nanda\NNP Devi\NNP which\WDT means\VBZ the\DT abode\NN of\IN Parvati\NNP .\.
htd24010	Now\RB we\PRP tell\VBP you\PRP other\JJ points\NNS about\IN this\DT peak\NN apart\RB from\IN mythic\JJ sagas\NNS .\.
htd24011	One\CD side\NN of\IN Nandakot\NNP peak\NN is\VBZ Pindarganga\NNP river\NN valley\NN and\CC on\IN the\DT other\JJ side\NN Gauriganga\NNP river\NN valley\NN .\.
htd24012	The\DT pass\NN joining\VBG these\DT valleys\NNS is\VBZ called\VBN Dana\NNP Dura\NNP pass\NN .\.
