ID	Value
htd6001	हमेशा\N_NST से\PSP रहस्यमय\JJ रहा\V_VM है\V_VAUX सुंदरबन\N_NNP ,\RD_PUNC रॉयल\N_NNP बंगाल\N_NNP टाइगर्स\N_NNP का\PSP यह\DM_DMD ठिकाना\N_NN यूनेस्को\N_NNP की\PSP विश्‍व\N_NN विरासत\N_NN स्थलों\N_NN की\PSP सूची\N_NN में\PSP शामिल\V_VM है\V_VAUX ।\RD_PUNC
htd6002	सुंदरबन\N_NNP का\PSP अस्तित्व\N_NN वास्तव\N_NN में\PSP उन\PR_PRP लोगों\N_NN के\PSP लिए\PSP खुशी\N_NN की\PSP वजह\N_NN बनता\V_VM है\V_VAUX जो\PR_PRL जंगल\N_NN से\PSP प्यार\N_NN करते\V_VM हैं\V_VAUX ।\RD_PUNC
htd6003	दुनिया\N_NN की\PSP सबसे\QT_QTF खतरनाक\JJ बिल्ली\N_NN प्रजाति\N_NN का\PSP घर\N_NN होने\V_VM के\PSP अलावा\N_NN सुंदरबन\N_NNP जानवरों\N_NN की\PSP एक\QT_QTC विस्तृत\JJ श्रृंखला\N_NN का\PSP भी\RP_RPD बसेरा\N_NN है\V_VAUX ।\RD_PUNC
htd6004	सुंदरबन\N_NNP में\PSP ऑलिव\N_NNP रिडले\N_NNP ,\RD_PUNC समुद्री\JJ कछुए\N_NN ,\RD_PUNC हर\QT_QTF कछुए\N_NN ,\RD_PUNC हॉक्‍स\N_NNP बिल\N_NNP टर्टल\N_NN ,\RD_PUNC हार्ड\N_NNP शेल\N_NNP बटगर\N_NNP टेरापिन\N_NNP ,\RD_PUNC किंग\N_NNP कोबरा\N_NNP ,\RD_PUNC चेकर्ड\N_NNP किलबैक\N_NNP और\CC_CCD एस्टुएरिन\N_NNP क्रोकोडाइल\N_NNP शामिल\V_VM हैं\V_VAUX ।\RD_PUNC
htd6005	यहाँ\DM_DMD साजनेखली\N_NNP पक्षी\N_NN अभयारण्य\N_NN हैं\V_VAUX ।\RD_PUNC
htd6006	यहाँ\DM_DMD ऑस्प्रे\N_NNP ,\RD_PUNC ग्रे\N_NNP हिरोन्स\N_NNP ,\RD_PUNC स्पॉटेड\N_NNP बिल\N_NNP पेलीकन्स\N_NNP ,\RD_PUNC व्हाइट\N_NNP आइबिस\N_NNP ,\RD_PUNC इगल्स\N_NNP ,\RD_PUNC किंगफिशर्स\N_NNP ,\RD_PUNC फैलकन्स\N_NNP ,\RD_PUNC हेरींग\N_NNP गुल्स\N_NNP ,\RD_PUNC कैस्पियन\N_NNP टर्न्स\N_NNP और\CC_CCD ओपेन\N_NNP बिन\N_NNP हिरोन्स\N_NNP बड़ी\QT_QTF संख्या\N_NN में\PSP हैं\V_VAUX ।\RD_PUNC
htd6007	सुंदरबन\N_NNP पक्षी\N_NN प्रेमियों\N_NN के\PSP लिए\PSP स्वर्ग\N_NN की\PSP तरह\N_NN है\V_VAUX ।\RD_PUNC
htd6008	सड़क\N_NN मार्ग\N_NN से\PSP कोलकाता\N_NNP से\PSP सुंदरबन\N_NNP तक\PSP का\PSP रास्ता\N_NN करीब\QT_QTF 112\QT_QTC किलोमीटर\N_NN लंबा\JJ है\V_VAUX ।\RD_PUNC
htd6009	आप\PR_PRP गोठखली\N_NNP जाने\V_VM के\PSP लिए\PSP कार\N_NN का\PSP इस्तेमाल\N_NN कर\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd6010	सड़क\N_NN मार्ग\N_NN यहाँ\DM_DMD पर\PSP खत्म\V_VM हो\V_VAUX जाता\V_VAUX है\V_VAUX ।\RD_PUNC
htd6011	वहाँ\DM_DMD से\PSP आपको\PR_PRP मंजिल\N_NN तक\PSP पहुँचने\V_VM के\PSP लिए\PSP नाव\N_NN या\CC_CCD फिर\CC_CCD मोटरबोट\N_NN लेना\V_VM होगा\V_VAUX ।\RD_PUNC
htd6012	सड़कमार्ग\N_NN कोलकाता\N_NNP को\PSP नामखाना\N_NNP ,\RD_PUNC रायदिघी\N_NNP ,\RD_PUNC सोनखाली\N_NNP और\CC_CCD नाजत\N_NNP से\PSP भी\RP_RPD जोड़ता\V_VM है\V_VAUX ।\RD_PUNC
htd6013	सियालदाह\N_NNP से\PSP कैनिंग\N_NNP तक\PSP लोकल\JJ ट्रेन\N_NN भी\RP_RPD उपलब्ध\V_VM है\V_VAUX ।\RD_PUNC
htd6014	कैनिंग\N_NNP स्टेशन\N_NN पहुँचने\V_VM के\PSP बाद\N_NST सुंदरबन\N_NNP जाने\V_VM के\PSP लिए\PSP नाव\N_NN या\CC_CCD फिर\CC_CCD मोटर\N_NN बोट\N_NN लेना\V_VM होगा\V_VAUX ।\RD_PUNC
