RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       100600     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.524D-01  3.974D-02
    1    2     1     0  ---    0  2.9D-01  1.0D+00  1.600D-01  2.821D-02
    2    3     0     0  con    0  1.0D+00  2.6D-01  2.179D-02  2.605D-02
    3    4     0     0  con    0  1.0D+00  7.4D-02  1.263D-02  2.583D-02
    4    5     0     0  con    0  1.0D+00  2.0D-01  1.311D-02  2.559D-02
    5    7     0     0  con    1  5.3D-01  3.9D-02  8.949D-03  2.558D-02
    6    8     0     0  con    0  1.0D+00  1.4D-02  1.718D-03  2.557D-02
    7    9     0     0  con    0  1.0D+00  6.4D-03  8.210D-04  2.557D-02
    8   10     0     0  con    0  1.0D+00  9.0D-03  7.690D-04  2.557D-02
    9   11     0     0  con    0  1.0D+00  6.1D-03  5.240D-04  2.557D-02
   10   12     0     0  con    0  1.0D+00  7.7D-03  6.306D-04  2.557D-02
   11   13     0     0  con    0  1.0D+00  6.0D-03  6.032D-04  2.557D-02
   12   14     0     0  con    0  1.0D+00  3.5D-02  1.203D-03  2.557D-02
   13   15     0     0  con    0  1.0D+00  5.9D-02  1.914D-03  2.556D-02
   14   16     0     0  con    0  1.0D+00  1.6D-01  3.386D-03  2.556D-02
   15   17     0     0  con    0  1.0D+00  1.2D-01  1.859D-03  2.556D-02
   16   18     0     0  con    0  1.0D+00  1.1D-01  1.328D-03  2.556D-02
   17   19     0     0  con    0  1.0D+00  1.3D-01  1.745D-03  2.556D-02
   18   20     0     0  con    0  1.0D+00  1.1D-01  1.225D-03  2.556D-02
   19   21     0     0  con    0  1.0D+00  9.4D-02  7.911D-04  2.555D-02
   20   23     0     0  con    1  5.0D-01  1.6D-01  6.394D-04  2.555D-02
   21   24     0     0  con    0  1.0D+00  1.9D-01  2.680D-03  2.555D-02
   22   25     0     0  con    0  1.0D+00  3.8D-02  1.285D-03  2.555D-02
   23   26     0     0  con    0  1.0D+00  1.1D-01  2.076D-03  2.555D-02
   24   27     0     0  con    0  1.0D+00  1.9D-02  4.297D-04  2.555D-02
   25   28     0     0  con    0  1.0D+00  5.8D-02  3.878D-04  2.555D-02
   26   29     0     0  con    0  1.0D+00  1.3D-01  5.207D-04  2.555D-02
   27   31     0     0  con    1  5.1D-01  7.5D-02  1.147D-03  2.555D-02
   28   32     0     0  con    0  1.0D+00  3.6D-02  4.805D-04  2.555D-02
   29   33     0     0  con    0  1.0D+00  1.3D-01  5.211D-04  2.555D-02
   30   34     0     0  con    0  1.0D+00  6.4D-03  5.389D-04  2.555D-02
   31   35     0     0  con    0  1.0D+00  3.4D-02  5.513D-04  2.555D-02
   32   36     0     0  con    0  1.0D+00  9.0D-02  5.579D-04  2.555D-02
   33   37     0     0  con    0  1.0D+00  1.0D-01  1.045D-03  2.555D-02
   34   38     0     0  con    0  1.0D+00  1.6D-01  1.816D-03  2.555D-02
   35   39     0     0  con    0  1.0D+00  7.4D-02  1.822D-03  2.555D-02
   36   40     0     0  con    0  1.0D+00  3.0D-01  2.343D-03  2.555D-02
   37   41     0     0  con    0  1.0D+00  2.4D-01  3.115D-03  2.555D-02
   38   42     0     0  con    0  1.0D+00  3.9D-02  1.523D-03  2.555D-02
   39   43     0     0  con    0  1.0D+00  1.1D-02  7.097D-04  2.555D-02
   40   44     0     0  con    0  1.0D+00  4.7D-02  6.987D-04  2.555D-02
   41   45     0     0  con    0  1.0D+00  8.3D-02  9.065D-04  2.554D-02
   42   46     0     0  con    0  1.0D+00  2.1D-01  1.555D-03  2.554D-02
   43   47     0     0  con    0  1.0D+00  1.7D-01  1.555D-03  2.554D-02
   44   49     0     0  con    1  5.3D-01  1.2D-01  1.315D-03  2.554D-02
   45   51     0     0  con    1  5.1D-01  6.5D-02  1.634D-03  2.554D-02
   46   52     0     0  con    0  1.0D+00  4.1D-02  1.162D-03  2.554D-02
   47   53     0     0  con    0  1.0D+00  2.2D-02  4.602D-04  2.554D-02
   48   54     0     0  con    0  1.0D+00  8.2D-03  4.226D-04  2.554D-02
   49   55     0     0  con    0  1.0D+00  3.4D-02  6.059D-04  2.554D-02
   50   56     0     0  con    0  1.0D+00  5.3D-02  1.602D-03  2.554D-02
   51   57     0     0  con    0  1.0D+00  1.3D-01  2.130D-03  2.554D-02
   52   58     0     0  con    0  1.0D+00  5.8D-01  3.534D-03  2.554D-02
   53   60     0     0  con    1  4.4D-01  3.7D-01  3.875D-03  2.553D-02
   54   61     0     0  con    0  1.0D+00  9.4D-01  5.462D-03  2.552D-02
   55   63     0     0  con    1  5.4D-01  2.0D-01  5.988D-03  2.552D-02
   56   64     0     0  con    0  1.0D+00  1.2D-01  4.400D-03  2.551D-02
   57   66     0     0  con    1  5.2D-01  2.9D-01  5.694D-03  2.551D-02
   58   67     0     0  con    0  1.0D+00  2.1D-01  3.072D-03  2.550D-02
   59   68     0     0  con    0  1.0D+00  3.5D-01  2.662D-03  2.550D-02
   60   69     0     0  con    0  1.0D+00  3.3D-01  7.236D-03  2.550D-02
   61   70     0     0  con    0  1.0D+00  1.1D-01  1.907D-03  2.549D-02
   62   71     0     0  con    0  1.0D+00  2.9D-02  3.463D-03  2.549D-02
   63   72     0     0  con    0  1.0D+00  3.4D-01  7.078D-03  2.549D-02
   64   73     0     0  con    0  1.0D+00  4.6D-02  3.475D-03  2.549D-02
   65   74     0     0  con    0  1.0D+00  4.4D-01  4.613D-03  2.548D-02
   66   75     0     0  con    0  1.0D+00  2.5D-01  4.413D-03  2.548D-02
   67   76     0     0  con    0  1.0D+00  1.9D+00  1.864D-02  2.546D-02
   68   77     0     0  con    0  1.0D+00  3.8D-01  1.294D-02  2.545D-02
   69   78     0     0  con    0  1.0D+00  1.7D-01  4.667D-03  2.544D-02
   70   79     0     0  con    0  1.0D+00  6.7D-01  1.001D-02  2.543D-02
   71   80     0     0  con    0  1.0D+00  3.1D-02  3.419D-03  2.542D-02
   72   81     0     0  con    0  1.0D+00  1.4D-01  5.073D-03  2.542D-02
   73   82     0     0  con    0  1.0D+00  1.3D-01  5.694D-03  2.541D-02
   74   83     0     0  con    0  1.0D+00  5.8D-02  6.502D-03  2.541D-02
   75   84     0     0  con    0  1.0D+00  2.0D-01  4.958D-03  2.541D-02
   76   85     0     0  con    0  1.0D+00  1.7D-01  7.548D-03  2.540D-02
   77   86     0     0  con    0  1.0D+00  7.5D-01  9.584D-03  2.538D-02
   78   87     0     0  con    0  1.0D+00  7.9D-02  5.821D-03  2.537D-02
   79   88     0     0  con    0  1.0D+00  3.8D-01  7.590D-03  2.536D-02
   80   89     0     0  con    0  1.0D+00  7.6D-02  7.373D-03  2.536D-02
   81   90     0     0  con    0  1.0D+00  1.8D-01  4.160D-03  2.535D-02
   82   91     0     0  con    0  1.0D+00  2.3D-01  5.366D-03  2.535D-02
   83   92     0     0  con    0  1.0D+00  2.0D-01  3.196D-03  2.534D-02
   84   93     0     0  con    0  1.0D+00  4.1D-01  2.172D-02  2.534D-02
   85   94     0     0  con    0  1.0D+00  4.1D-01  1.633D-02  2.534D-02
   86   95     0     0  con    0  1.0D+00  9.2D-02  8.536D-03  2.533D-02
   87   96     0     0  con    0  1.0D+00  6.7D-02  5.979D-03  2.533D-02
   88   97     0     0  con    0  1.0D+00  4.0D-01  1.041D-02  2.532D-02
   89   98     0     0  con    0  1.0D+00  5.6D-01  1.281D-02  2.532D-02
   90   99     0     0  con    0  1.0D+00  4.3D-01  1.307D-02  2.531D-02
   91  101     0     0  con    1  4.8D-01  1.4D-01  5.301D-03  2.530D-02
   92  102     0     0  con    0  1.0D+00  6.8D-02  2.689D-03  2.530D-02
   93  103     0     0  con    0  1.0D+00  5.8D-02  6.296D-03  2.530D-02
   94  104     0     0  con    0  1.0D+00  1.0D-01  5.553D-03  2.530D-02
   95  105     0     0  con    0  1.0D+00  4.8D-02  6.543D-03  2.530D-02
   96  107     0     0  con    1  5.0D-01  4.5D-02  7.666D-03  2.530D-02
   97  108     0     0  con    0  1.0D+00  8.1D-02  4.010D-03  2.530D-02
   98  109     0     0  con    0  1.0D+00  1.1D-01  3.808D-03  2.529D-02
   99  110     0     0  con    0  1.0D+00  2.9D-01  4.107D-03  2.529D-02
  100  111     0     0  con    0  1.0D+00  2.9D-01  4.246D-03  2.529D-02
  101  112     0     0  con    0  1.0D+00  4.8D-01  7.979D-03  2.528D-02
  102  113     0     0  con    0  1.0D+00  2.1D-01  3.598D-03  2.528D-02
  103  114     0     0  con    0  1.0D+00  1.1D-01  3.283D-03  2.528D-02
  104  115     0     0  con    0  1.0D+00  4.1D-02  1.832D-03  2.528D-02
  105  116     0     0  con    0  1.0D+00  3.3D-02  1.803D-03  2.528D-02
  106  117     0     0  con    0  1.0D+00  1.9D-01  8.637D-03  2.528D-02
  107  118     0     0  con    0  1.0D+00  1.0D-01  9.282D-03  2.528D-02
  108  119     0     0  con    0  1.0D+00  4.5D-02  3.461D-03  2.528D-02
  109  120     0     0  con    0  1.0D+00  1.2D-01  2.570D-03  2.528D-02
  110  121     0     0  con    0  1.0D+00  6.9D-02  2.566D-03  2.527D-02
  111  122     0     0  con    0  1.0D+00  1.8D-01  2.829D-03  2.527D-02
  112  123     0     0  con    0  1.0D+00  2.4D-01  4.024D-03  2.527D-02
  113  124     0     0  con    0  1.0D+00  1.0D-01  3.134D-03  2.527D-02
  114  125     0     0  con    0  1.0D+00  1.7D-01  1.546D-03  2.527D-02
  115  126     0     0  con    0  1.0D+00  3.3D-02  2.961D-03  2.527D-02
  116  127     0     0  con    0  1.0D+00  5.1D-02  4.831D-03  2.527D-02
  117  128     0     0  con    0  1.0D+00  7.3D-02  4.986D-03  2.527D-02
  118  130     0     0  con    1  4.8D-01  1.0D-01  8.533D-03  2.527D-02
  119  131     0     0  con    0  1.0D+00  1.1D-01  3.264D-03  2.527D-02
  120  132     0     0  con    0  1.0D+00  5.4D-02  2.400D-03  2.526D-02
  121  133     0     0  con    0  1.0D+00  4.9D-02  7.944D-03  2.526D-02
  122  134     0     0  con    0  1.0D+00  7.1D-02  4.041D-03  2.526D-02
  123  135     0     0  con    0  1.0D+00  1.1D-01  3.064D-03  2.526D-02
  124  136     0     0  con    0  1.0D+00  1.5D-01  4.808D-03  2.526D-02
  125  137     0     0  con    0  1.0D+00  1.0D-01  5.154D-03  2.526D-02
  126  138     0     0  con    0  1.0D+00  8.2D-02  3.388D-03  2.525D-02
  127  139     0     0  con    0  1.0D+00  3.6D-02  2.575D-03  2.525D-02
  128  140     0     0  con    0  1.0D+00  4.4D-02  3.001D-03  2.525D-02
  129  141     0     0  con    0  1.0D+00  1.1D-01  6.074D-03  2.525D-02
  130  143     0     0  con    1  4.9D-01  3.2D-02  6.466D-03  2.525D-02
  131  144     0     0  con    0  1.0D+00  5.5D-02  4.250D-03  2.525D-02
  132  145     0     0  con    0  1.0D+00  1.6D-01  2.278D-03  2.525D-02
  133  146     0     0  con    0  1.0D+00  5.0D-02  2.638D-03  2.525D-02
  134  147     0     0  con    0  1.0D+00  1.4D-01  7.649D-03  2.525D-02
  135  148     0     0  con    0  1.0D+00  7.7D-02  1.536D-03  2.525D-02
  136  149     0     0  con    0  1.0D+00  4.8D-02  1.157D-03  2.525D-02
  137  150     0     0  con    0  1.0D+00  4.1D-02  1.537D-03  2.524D-02
  138  151     0     0  con    0  1.0D+00  9.8D-03  1.159D-03  2.524D-02
  139  152     0     0  con    0  1.0D+00  1.5D-02  1.158D-03  2.524D-02
  140  154     0     0  con    1  4.8D-01  1.6D-02  2.282D-03  2.524D-02
  141  155     0     0  con    0  1.0D+00  8.9D-03  5.152D-03  2.524D-02
  142  156     0     0  con    0  1.0D+00  3.7D-02  2.567D-03  2.524D-02
  143  157     0     0  con    0  1.0D+00  2.7D-02  1.633D-03  2.524D-02
  144  158     0     0  con    0  1.0D+00  9.3D-03  2.322D-03  2.524D-02
  145  159     0     0  con    0  1.0D+00  2.2D-02  2.767D-03  2.524D-02
  146  160     0     0  con    0  1.0D+00  2.8D-02  1.790D-03  2.524D-02
  147  161     0     0  con    0  1.0D+00  6.5D-02  3.360D-03  2.524D-02
  148  162     0     0  con    0  1.0D+00  3.4D-02  8.271D-04  2.524D-02
  149  163     0     0  con    0  1.0D+00  1.3D-02  8.752D-04  2.524D-02
  150  164     0     0  con    0  1.0D+00  1.5D-02  9.788D-04  2.524D-02
  151  165     0     0  con    0  1.0D+00  1.5D-02  7.855D-04  2.524D-02
  152  167     0     0  con    1  5.3D-01  2.6D-02  7.328D-03  2.524D-02
  153  168     0     0  con    0  1.0D+00  1.9D-02  1.502D-03  2.524D-02
  154  169     0     0  con    0  1.0D+00  4.3D-02  1.896D-03  2.524D-02
  155  170     0     0  con    0  1.0D+00  6.2D-02  2.956D-03  2.524D-02
  156  171     0     0  con    0  1.0D+00  5.3D-02  5.098D-03  2.524D-02
  157  172     0     0  con    0  1.0D+00  1.4D-01  2.573D-03  2.524D-02
  158  173     0     0  con    0  1.0D+00  4.5D-02  3.800D-03  2.524D-02
  159  174     0     0  con    0  1.0D+00  2.0D-02  2.997D-03  2.524D-02
  160  175     0     0  con    0  1.0D+00  1.4D-02  1.087D-03  2.524D-02
  161  177     0     0  con    1  4.8D-01  3.6D-02  8.877D-04  2.524D-02
  162  178     0     0  con    0  1.0D+00  2.3D-02  1.265D-03  2.524D-02
  163  179     0     0  con    0  1.0D+00  2.0D-02  1.009D-03  2.524D-02
  164  180     0     0  con    0  1.0D+00  7.3D-02  7.323D-03  2.524D-02
  165  181     0     0  con    0  1.0D+00  2.0D-02  1.379D-03  2.524D-02
  166  182     0     0  con    0  1.0D+00  1.5D-02  1.267D-03  2.524D-02
  167  183     0     0  con    0  1.0D+00  1.5D-02  1.600D-03  2.524D-02
  168  184     0     0  con    0  1.0D+00  1.7D-02  1.087D-03  2.524D-02
  169  185     0     0  con    0  1.0D+00  3.5D-02  1.519D-03  2.524D-02
  170  188     0     0  con    2  2.9D-01  4.1D-02  1.317D-03  2.524D-02
  171  189     0     0  con    0  1.0D+00  6.0D-02  1.085D-03  2.524D-02
  172  190     0     0  con    0  1.0D+00  8.8D-02  1.261D-03  2.524D-02
  173  191     0     0  con    0  1.0D+00  2.8D-02  1.461D-03  2.524D-02
  174  192     0     0  con    0  1.0D+00  2.5D-02  8.372D-04  2.524D-02
  175  193     0     0  con    0  1.0D+00  3.0D-02  9.123D-04  2.524D-02
  176  194     0     0  con    0  1.0D+00  5.0D-02  5.660D-03  2.524D-02
  177  195     0     0  con    0  1.0D+00  4.0D-02  2.435D-03  2.523D-02
  178  196     0     0  con    0  1.0D+00  1.6D-02  9.222D-04  2.523D-02
  179  197     0     0  con    0  1.0D+00  3.3D-02  1.288D-03  2.523D-02
  180  198     0     0  con    0  1.0D+00  2.2D-02  1.297D-03  2.523D-02
  181  199     0     0  con    0  1.0D+00  3.9D-02  9.601D-04  2.523D-02
  182  200     0     0  con    0  1.0D+00  3.9D-02  1.407D-03  2.523D-02
  183  201     0     0  con    0  1.0D+00  1.6D-02  1.091D-03  2.523D-02
  184  202     0     0  con    0  1.0D+00  1.4D-02  1.259D-03  2.523D-02
  185  203     0     0  con    0  1.0D+00  1.0D-02  7.131D-04  2.523D-02
  186  204     0     0  con    0  1.0D+00  6.6D-03  5.757D-04  2.523D-02
  187  205     0     0  con    0  1.0D+00  4.2D-02  5.271D-03  2.523D-02
  188  206     0     0  con    0  1.0D+00  2.5D-02  4.054D-03  2.523D-02
  189  207     0     0  con    0  1.0D+00  5.6D-03  1.515D-03  2.523D-02
  190  208     0     0  con    0  1.0D+00  1.5D-02  1.828D-03  2.523D-02
  191  209     0     0  con    0  1.0D+00  1.5D-02  2.144D-03  2.523D-02
  192  210     0     0  con    0  1.0D+00  2.3D-02  1.807D-03  2.523D-02
  193  211     0     0  con    0  1.0D+00  4.7D-02  1.843D-03  2.523D-02
  194  214     0     0  con    2  2.7D-01  1.9D-02  1.188D-03  2.523D-02
  195  215     0     0  con    0  1.0D+00  7.3D-03  8.584D-04  2.523D-02
  196  216     0     0  con    0  1.0D+00  6.4D-03  1.573D-03  2.523D-02
  197  217     0     0  con    0  1.0D+00  8.2D-03  1.566D-03  2.523D-02
  198  218     0     0  con    0  1.0D+00  2.4D-02  2.385D-03  2.523D-02
  199  220     0     0  con    1  4.9D-01  2.8D-02  4.005D-03  2.523D-02
  200  221     0     0  con    0  1.0D+00  4.0D-02  1.990D-03  2.523D-02
  201  222     0     0  con    0  1.0D+00  6.9D-02  3.770D-03  2.523D-02
  202  223     0     0  con    0  1.0D+00  1.6D-01  6.865D-03  2.523D-02
  203  224     0     0  con    0  1.0D+00  4.7D-02  3.115D-03  2.523D-02
  204  225     0     0  con    0  1.0D+00  5.7D-02  1.453D-03  2.523D-02
  205  226     0     0  con    0  1.0D+00  4.5D-02  1.284D-03  2.523D-02
  206  227     0     0  con    0  1.0D+00  6.0D-02  3.023D-03  2.523D-02
  207  228     0     0  con    0  1.0D+00  5.5D-02  2.068D-03  2.523D-02
  208  229     0     0  con    0  1.0D+00  1.9D-02  9.699D-04  2.523D-02
  209  230     0     0  con    0  1.0D+00  6.7D-03  5.676D-04  2.523D-02
  210  231     0     0  con    0  1.0D+00  1.3D-02  1.813D-03  2.523D-02
  211  233     0     0  con    1  5.4D-01  6.2D-02  6.290D-03  2.523D-02
  212  234     0     0  con    0  1.0D+00  1.1D-02  1.613D-03  2.523D-02
  213  235     0     0  con    0  1.0D+00  2.0D-02  2.066D-03  2.523D-02
  214  236     0     0  con    0  1.0D+00  4.4D-02  4.253D-03  2.523D-02
  215  237     0     0  con    0  1.0D+00  8.2D-02  5.675D-03  2.523D-02
  216  238     0     0  con    0  1.0D+00  9.7D-02  3.967D-03  2.522D-02
  217  241     0     0  con    2  2.9D-01  9.9D-02  9.652D-03  2.522D-02
  218  242     0     0  con    0  1.0D+00  1.8D-02  2.905D-03  2.522D-02
  219  243     0     0  con    0  1.0D+00  1.0D-02  2.340D-03  2.522D-02
  220  244     0     0  con    0  1.0D+00  6.4D-03  3.584D-03  2.522D-02
  221  245     0     0  con    0  1.0D+00  1.0D-02  3.687D-03  2.522D-02
  222  246     0     0  con    0  1.0D+00  1.7D-02  1.006D-03  2.522D-02
  223  247     0     0  con    0  1.0D+00  8.0D-02  1.912D-03  2.522D-02
  224  248     0     0  con    0  1.0D+00  1.3D-02  1.758D-03  2.522D-02
  225  249     0     0  con    0  1.0D+00  3.2D-03  1.879D-03  2.522D-02
  226  250     0     0  con    0  1.0D+00  3.3D-02  1.415D-03  2.522D-02
  227  251     0     0  con    0  1.0D+00  4.3D-02  7.588D-04  2.522D-02
  228  252     0     0  con    0  1.0D+00  9.4D-02  1.874D-03  2.522D-02
  229  253     0     0  con    0  1.0D+00  4.1D-02  1.303D-03  2.522D-02
  230  256     0     0  con    2  2.7D-01  7.8D-03  3.502D-03  2.522D-02
  231  257     0     0  con    0  1.0D+00  1.1D-02  9.913D-04  2.522D-02
  232  258     0     0  con    0  1.0D+00  1.8D-02  8.926D-04  2.522D-02
  233  259     0     0  con    0  1.0D+00  3.4D-02  1.453D-03  2.522D-02
  234  260     0     0  con    0  1.0D+00  2.2D-02  1.412D-03  2.522D-02
  235  262     0     0  con    1  4.8D-01  2.0D-02  3.229D-03  2.522D-02
  236  263     0     0  con    0  1.0D+00  2.1D-02  2.043D-03  2.522D-02
  237  264     0     0  con    0  1.0D+00  1.1D-02  1.105D-03  2.522D-02
  238  265     0     0  con    0  1.0D+00  8.2D-03  8.279D-04  2.522D-02
  239  266     0     0  con    0  1.0D+00  6.8D-02  8.509D-04  2.522D-02
  240  267     0     0  con    0  1.0D+00  1.6D-02  1.126D-03  2.522D-02
  241  268     0     0  con    0  1.0D+00  2.2D-02  5.735D-04  2.522D-02
  242  270     0     0  con    1  5.2D-01  3.6D-02  3.447D-03  2.522D-02
  243  271     0     0  con    0  1.0D+00  9.0D-03  8.777D-04  2.522D-02
  244  272     0     0  con    0  1.0D+00  1.2D-02  5.514D-04  2.522D-02
  245  273     0     0  con    0  1.0D+00  3.3D-02  1.610D-03  2.522D-02
  246  274     0     0  con    0  1.0D+00  3.4D-02  2.204D-03  2.522D-02
  247  275     0     0  con    0  1.0D+00  1.2D-01  3.629D-03  2.522D-02
  248  276     0     0  con    0  1.0D+00  1.9D-02  1.915D-03  2.522D-02
  249  277     0     0  con    0  1.0D+00  2.2D-02  1.323D-03  2.522D-02
  250  278     0     0  con    0  1.0D+00  3.3D-02  1.231D-03  2.522D-02
  251  279     0     0  con    0  1.0D+00  2.2D-02  1.183D-03  2.522D-02
  252  280     0     0  con    0  1.0D+00  4.1D-02  2.389D-03  2.522D-02
